"condition_id","composition","n","R2","learner","auroc_true.auroc","auroc_naive.auroc","auroc_subject.auroc","brier_true.brier","brier_naive.brier","brier_subject.brier","u_raw","u_q4","n_classes","max_class","prevalence","n_valid","mcse_auroc_naive"
50,"5 binary",50,0.05,"xgboost",0.533434355766182,0.892483054704206,0.503302561444211,0.352116610686418,0.121894404472545,0.362007378641342,0.21312,4e-05,25.504,4.638,0.4786,500,0.00199169233495341
51,"5 continuous",100,0.05,"xgboost",0.534052848311036,1,0.520130460754232,0.315385145128064,0.0207539457075825,0.320302791702145,1,0.92028,100,1,0.4787,500,0.000865027004419748
52,"3 continuous + 2 binary",100,0.05,"xgboost",0.531284292424481,0.999993534027486,0.523437151558559,0.314827543200789,0.0304070341709901,0.316921495121095,1,0.25638,100,1,0.47884,500,0.000857323482815462
53,"2 continuous + 3 binary",100,0.05,"xgboost",0.531145885335775,0.999944375888938,0.512806219595308,0.312459942132449,0.0401270788021224,0.319465138139193,1,0.0124,100,1,0.48278,500,0.000857663170543832
54,"1 continuous + 4 binary",100,0.05,"xgboost",0.53341384679934,0.997251241824011,0.517552954785707,0.310645064872616,0.0651834959789722,0.316823422153063,1,0,100,1,0.48208,500,0.000862154466589129
55,"5 binary",100,0.05,"xgboost",0.539875749774549,0.808660752378606,0.520246366034609,0.302389019569297,0.171841985015629,0.310247370127553,0.04322,0,30.692,7.302,0.47946,500,0.00179965045949275
56,"5 continuous",200,0.05,"xgboost",0.542505312802864,0.999415944328356,0.53280757090798,0.286350601965963,0.0614083475608037,0.290098228464773,1,0.83377,200,1,0.48287,500,0.000771552529585012
57,"3 continuous + 2 binary",200,0.05,"xgboost",0.537565734475621,0.997853855692855,0.52919728410141,0.286185931141269,0.0751263966087686,0.289135308128694,1,0.05997,200,1,0.47819,500,0.000707760936524176
58,"2 continuous + 3 binary",200,0.05,"xgboost",0.537671004636878,0.994727137820638,0.528535436034344,0.285316474705832,0.0857128732489947,0.288518342425396,1,0.00057,200,1,0.47853,500,0.000722626374368349
59,"1 continuous + 4 binary",200,0.05,"xgboost",0.541591220147595,0.96522995419805,0.531206107508676,0.283286183356182,0.116133823834378,0.287116720674636,1,0,200,1,0.47957,500,0.000812917644047478
60,"5 binary",200,0.05,"xgboost",0.555446645326663,0.731105730276144,0.536035422068612,0.270282624384126,0.205065710245524,0.274665365532445,0.00182,0,31.956,11.998,0.48037,500,0.00137109173318659
61,"5 continuous",50,0.15,"xgboost",0.576340998896042,1,0.540612959885093,0.335699458496399,0.0025215839529007,0.346363818628737,1,0.96488,50,1,0.48164,500,0.00139650597176498
62,"3 continuous + 2 binary",50,0.15,"xgboost",0.573544665315132,1,0.541773032008831,0.335003702054875,0.00464901215584731,0.343247499642722,1,0.54624,50,1,0.47912,500,0.00144728789768676
63,"2 continuous + 3 binary",50,0.15,"xgboost",0.572961301624936,1,0.540043253000904,0.333583699953014,0.00734719451352462,0.343165718673986,1,0.09008,50,1,0.48312,500,0.00147316068341
64,"1 continuous + 4 binary",50,0.15,"xgboost",0.575274225454074,1,0.546994612539471,0.331253701021847,0.0168444252865773,0.340162484587593,1,0.00188,50,1,0.47856,500,0.00148927213555799
65,"5 binary",50,0.15,"xgboost",0.592760382608087,0.906581356544801,0.571731937950988,0.324859849669685,0.112875304328102,0.329815328018308,0.20988,0,25.414,4.656,0.48044,500,0.00216609818988641
66,"5 continuous",100,0.15,"xgboost",0.595731842372386,1,0.583238131910229,0.29445841609555,0.0172516811951613,0.297185813754153,1,0.91942,100,1,0.4782,500,0.0011344231122733
67,"3 continuous + 2 binary",100,0.15,"xgboost",0.587099790744583,0.999997578225717,0.57076417083694,0.295642541038136,0.0247112050002526,0.300642698050014,1,0.24882,100,1,0.47934,500,0.00110662879060798
68,"2 continuous + 3 binary",100,0.15,"xgboost",0.587083710336527,0.999948363352448,0.568968301626626,0.294059197754598,0.0334139603555077,0.301089072788064,1,0.01526,100,1,0.48094,500,0.00107794893459266
69,"1 continuous + 4 binary",100,0.15,"xgboost",0.593907124283182,0.998028163684441,0.569910526986984,0.289518268167233,0.0556713942001113,0.2984883781745,1,8e-05,100,1,0.4765,500,0.00114054201245955
70,"5 binary",100,0.15,"xgboost",0.612357187824165,0.838820325642916,0.595201333798408,0.27834054645228,0.157581801331226,0.283445357920567,0.0428,0,30.68,7.19,0.48174,500,0.00171800495755481
71,"5 continuous",200,0.15,"xgboost",0.612634199280976,0.999505695058389,0.604479757785322,0.266036107196508,0.0524197573303006,0.268669093762889,1,0.8354,200,1,0.48092,500,0.000864422973407758
