"condition_id","n","p_L","ICC","rho","u_q4","u_q10","stab_q4","stab_q10","nn_subj","nn_row","mcse_u_q4","mcse_u_q10","mcse_stab_q4","mcse_stab_q10","mcse_nn_subj","mcse_nn_row"
64,100,5,0,0.7,0.923108197478265,0.999518599317791,0.0116832904564715,0.000312872552873744,0.111019938029551,0.0511966666666667,0.00120286667069096,7.07331275659433e-05,0.000289038723724508,4.24337153499568e-05,0.000805585412428361,0.000376754707251375
65,100,5,0.1,0.7,0.922205102234311,0.999311170260024,0.0206684955785869,0.000573886915528157,0.180738077736214,0.0776683333333333,0.00138144925231601,9.58517380971978e-05,0.00036861405206897,6.13240346740363e-05,0.00111013859485024,0.000501157217519862
66,100,5,0.3,0.7,0.922571410450884,0.999498920146748,0.0469535190895231,0.00189427397760857,0.349462235520516,0.150388333333333,0.0015591932411913,8.01683836959718e-05,0.000571804459542387,0.000105695667868886,0.00166454900618345,0.000791272810429403
67,100,5,0.5,0.7,0.924262634158195,0.999374430251087,0.0926337727704249,0.00523579953609628,0.550968516907451,0.272028333333333,0.00173110602005548,0.00012696768625035,0.000845039393062792,0.000174657305550506,0.00186779620766843,0.00116649143814484
68,100,5,0.7,0.7,0.925488190302093,0.999487970962935,0.180427452611177,0.0156154101651043,0.770995759217395,0.488521666666667,0.00193954342925072,0.000105291972837362,0.0012213150752977,0.000316657050003569,0.00185285576653553,0.00195217895340266
69,100,5,0.9,0.7,0.920716420382417,0.999519680695942,0.39081314688235,0.0762339413436498,0.965274154507346,0.877218333333333,0.00207958328756266,0.00013135347869308,0.00181508260515407,0.000727380542263077,0.000616510975578786,0.00126051711291827
70,100,5,0.95,0.7,0.923007966424038,0.999529031403103,0.51109300619746,0.149234930733936,0.991904437700322,0.968351666666667,0.00216474493898042,0.000136360562587746,0.00195948017243067,0.00110243760973472,0.000291850834345466,0.000587916655537313
71,100,5,0.99,0.7,0.925200591646636,0.9995080670222,0.721222264703368,0.391865974655587,0.999823176892438,0.999413333333333,0.00224867289547376,0.000154145698802569,0.00161690901317014,0.00174168938451596,3.55326356448961e-05,5.87530960729514e-05
72,100,5,1,0.7,0.925325996444018,0.999385440556592,1,1,1,1,0.00215780827261999,0.000169344319192088,0,0,0,0
73,200,2,0,0.3,0,0.14886897436359,0.0878446780069045,0.0164644830076908,0.00892399871545078,0.00769,0,0.000487019658992801,0.000575668966132001,0.000271141920669336,0.000160302649270242,8.52463831509154e-05
74,200,2,0.1,0.3,0,0.147469069776627,0.14927654780271,0.03172910886645,0.0196260036281851,0.0130066666666667,0,0.000480565543381568,0.000729911672429193,0.000338073053421187,0.000255203811117062,0.000115752822001143
75,200,2,0.3,0.3,0,0.148404227555418,0.242413500711558,0.0601137239202236,0.0410672901141109,0.0231483333333333,0,0.000603269922413199,0.000946492787860447,0.000465793854760957,0.000330368377940668,0.000158536147984475
76,200,2,0.5,0.3,0,0.146401645694602,0.341506131949329,0.0965691904655439,0.0706174874966805,0.0374566666666667,0,0.000606918694834313,0.00110126551971015,0.00062891198599568,0.000520145449117298,0.000253099821851634
