"condition_id","fixed_comp","p_L","ICC","rho","n","p_F","s_F","s_L","s_joint","nnrow_F","nnrow_L","nnrow_joint","mcse_s_F","mcse_s_L","mcse_s_joint","mcse_nnrow_F","mcse_nnrow_L","mcse_nnrow_joint","increment"
82,"5 continuous",5,0.3,0.3,100,5,1,0.25401270776726,0.945391946700755,1,0.110433333333333,0.808796666666667,0,0.00144017220541274,0.000619587719883315,0,0.000607679313882231,0.00111486276456249,-0.054608053299245
83,"2 continuous + 3 binary",5,0.3,0.3,100,5,1,0.253930790461012,0.886096311593929,1,0.112153333333333,0.718895,0,0.00158021638470885,0.00108037878934467,0,0.000693572790758405,0.00143927826673298,-0.113903688406071
84,"5 binary",5,0.3,0.3,100,5,0.316655817310283,0.256002525872359,0.814825898480415,0.317275,0.111688333333333,0.657931666666667,0.000732999643229342,0.00131633948745974,0.0013848515599548,0.000749563198691781,0.000590323409738144,0.00129739957563189,0.498170081170132
85,"none",2,0.7,0.3,100,0,NA,0.197201577535783,0.197201577535783,NA,0.107723333333333,0.107723333333333,NA,0.00126573414146271,0.00126573414146271,NA,0.000671478073285648,0.000671478073285648,0
86,"1 continuous",2,0.7,0.3,100,1,1,0.195860269676552,0.554987107146215,1,0.106721666666667,0.348888333333333,0,0.00125600251771115,0.00169803166892736,0,0.000678166220119045,0.00139015497792389,-0.445012892853785
87,"2 continuous",2,0.7,0.3,100,2,1,0.197965308912129,0.812212215083076,1,0.107545,0.615536666666667,0,0.00136759017964425,0.00145692585735365,0,0.000733379690555488,0.00165746335015859,-0.187787784916924
88,"5 continuous",2,0.7,0.3,100,5,1,0.196416942040791,0.991270637546947,1,0.107053333333333,0.963373333333333,0,0.0013037263767246,0.000242783410542215,0,0.000688963163085905,0.000517960825821246,-0.00872936245305345
89,"2 continuous + 3 binary",2,0.7,0.3,100,5,1,0.195927904887529,0.953040556853773,1,0.10685,0.873651666666667,0,0.00133085178330808,0.000756738176775222,0,0.000719508603017188,0.00111928253695985,-0.0469594431462274
90,"5 binary",2,0.7,0.3,100,5,0.318245854612167,0.19679003379651,0.834186732844789,0.318081666666667,0.10632,0.721106666666667,0.000791203330280195,0.00119187123219822,0.0016799852648741,0.000812003393740518,0.000647094783081627,0.00166852452564703,0.515940878232622
91,"none",5,0.7,0.3,100,0,NA,0.719830546197275,0.719830546197275,NA,0.429636666666667,0.429636666666667,NA,0.00167601110282702,0.00167601110282702,NA,0.00150461451013893,0.00150461451013893,0
92,"1 continuous",5,0.7,0.3,100,1,1,0.721362447355488,0.872035485387802,1,0.430563333333333,0.638615,0,0.00159550759946345,0.00114031360484334,0,0.00142125798509273,0.00153647282102871,-0.127964514612198
93,"2 continuous",5,0.7,0.3,100,2,1,0.720149197300648,0.943736560654595,1,0.42998,0.798388333333333,0,0.00179061652579634,0.000807997019732256,0,0.00157451372408648,0.00155437420194988,-0.0562634393454048
94,"5 continuous",5,0.7,0.3,100,5,1,0.72297169284417,0.996258239188035,1,0.432641666666667,0.979198333333333,0,0.00161073334295142,0.000162241038941014,0,0.00148997007284669,0.000360726185344026,-0.00374176081196476
95,"2 continuous + 3 binary",5,0.7,0.3,100,5,1,0.722313921426919,0.988827286874511,1,0.432895,0.952353333333333,0,0.00160216092935269,0.000287069373344189,0,0.00154406805593613,0.00058106950047085,-0.0111727131254888
96,"5 binary",5,0.7,0.3,100,5,0.317794901985383,0.724532802132983,0.975986871642943,0.317963333333333,0.43356,0.923193333333333,0.000819353286790458,0.00174124598007264,0.000513162780227255,0.000829184950936001,0.00159652707957029,0.000928268622435994,0.25145406950996
97,"none",2,0.9,0.3,100,0,NA,0.409556149901607,0.409556149901607,NA,0.243175,0.243175,NA,0.00174381997311491,0.00174381997311491,NA,0.00111395878453649,0.00111395878453649,0
98,"1 continuous",2,0.9,0.3,100,1,1,0.404064017071745,0.811628798328482,1,0.240135,0.628188333333333,0,0.00190843041071212,0.0015576838297926,0,0.00128212400872836,0.00172104842791653,-0.188371201671518
99,"2 continuous",2,0.9,0.3,100,2,1,0.408870063696568,0.956652702633434,1,0.243383333333333,0.872036666666667,0,0.00196662920370981,0.000742705447043793,0,0.00133432490349004,0.00129032994538252,-0.0433472973665655
100,"5 continuous",2,0.9,0.3,100,5,1,0.410088666539887,0.999618635956691,1,0.244658333333333,0.99831,0,0.00177225978010003,4.56971496987198e-05,0,0.00121188382663874,8.52791258939304e-05,-0.00038136404330924
101,"2 continuous + 3 binary",2,0.9,0.3,100,5,1,0.407113328121241,0.993159680602264,1,0.241723333333333,0.976503333333333,0,0.00196445023109997,0.000289292417966723,0,0.0013171274557859,0.000529060511780673,-0.00684031939773633
102,"5 binary",2,0.9,0.3,100,5,0.317682569250541,0.405416629106197,0.939774747384189,0.317396666666667,0.241486666666667,0.879485,0.000818809186614216,0.00179435947137851,0.00108679183533328,0.000840579517464864,0.00119650953368953,0.00128694166852262,0.534358118277992
103,"none",5,0.9,0.3,100,0,NA,0.953991785982663,0.953991785982663,NA,0.84193,0.84193,NA,0.000783485716674331,0.000783485716674331,NA,0.00138336126387012,0.00138336126387012,0
104,"1 continuous",5,0.9,0.3,100,1,1,0.957074344357711,0.98853276155451,1,0.847951666666667,0.950016666666667,0,0.000644794773234068,0.000291642833216091,0,0.00128434806735711,0.000636011045699095,-0.0114672384454901
